SampleID	PotNum	Timepoint	Position	Inoculum	CondLin	Clone	GEO	SeedLin	INHBTR	BAC	FUN	OOM	Treat	Rep	SeqRn
90t0	90	t0	88	Sterile	Native	Shia25	CM	Native	STERILE	YES	YES	YES	29	2	Two
90t2	90	t2	88	Sterile	Native	Shia25	CM	Native	STERILE	YES	YES	YES	29	2	Two
91t0	91	t0	66	Sterile	Native	Shia25	CM	NonNative	STERILE	YES	YES	YES	30	4	Two
91t2	91	t2	66	Sterile	Native	Shia25	CM	NonNative	STERILE	YES	YES	YES	30	4	Two
114t0	114	t0	144	Sterile	Native	CPNWR36	WLE	Native	STERILE	YES	YES	YES	29	5	Three
114t2	114	t2	144	Sterile	Native	CPNWR36	WLE	Native	STERILE	YES	YES	YES	29	5	Three
115t0	115	t0	93	Sterile	Native	CPNWR36	WLE	NonNative	STERILE	YES	YES	YES	30	5	Three
115t2	115	t2	93	Sterile	Native	CPNWR36	WLE	NonNative	STERILE	YES	YES	YES	30	5	Three
142t0	142	t0	69	Sterile	Native	JC42	SEM	Native	STERILE	YES	YES	YES	29	4	Three
142t2	142	t2	69	Sterile	Native	JC42	SEM	Native	STERILE	YES	YES	YES	29	4	Three
143t0	143	t0	310	Sterile	Native	JC42	SEM	NonNative	STERILE	YES	YES	YES	30	3	Three
143t2	143	t2	310	Sterile	Native	JC42	SEM	NonNative	STERILE	YES	YES	YES	30	3	Three
144t0	144	t0	169	Live	Native	CH45	SEM	Native	BAC	NO	YES	YES	5	5	Three
144t2	144	t2	169	Live	Native	CH45	SEM	Native	BAC	NO	YES	YES	5	5	Three
145t0	145	t0	186	Live	Native	CH45	SEM	Native	NONE	YES	YES	YES	25	5	Three
145t2	145	t2	186	Live	Native	CH45	SEM	Native	NONE	YES	YES	YES	25	5	Three
146t0	146	t0	204	Live	Native	CH45	SEM	Native	FUN	YES	NO	YES	1	5	Three
146t2	146	t2	204	Live	Native	CH45	SEM	Native	FUN	YES	NO	YES	1	5	Three
147t0	147	t0	43	Live	Native	CH45	SEM	Native	FUNBAC	NO	NO	YES	13	5	Three
147t1	147	t1	43	Live	Native	CH45	SEM	Native	FUNBAC	NO	NO	YES	13	5	Three
147t2	147	t2	43	Live	Native	CH45	SEM	Native	FUNBAC	NO	NO	YES	13	5	Three
148t0	148	t0	296	Live	Native	CH45	SEM	NonNative	BACOOM	NO	YES	NO	22	5	Three
148t2	148	t2	296	Live	Native	CH45	SEM	NonNative	BACOOM	NO	YES	NO	22	5	Three
150t0	150	t0	172	Live	Native	CH45	SEM	NonNative	OOM	YES	YES	NO	10	5	Three
150t2	150	t2	172	Live	Native	CH45	SEM	NonNative	OOM	YES	YES	NO	10	5	Three
151t0	151	t0	137	Live	Native	CH45	SEM	NonNative	BAC	NO	YES	YES	6	5	Three
151t2	151	t2	137	Live	Native	CH45	SEM	NonNative	BAC	NO	YES	YES	6	5	Three
201t0	201	t0	313	Live	NonNative	CPNWR38	WLE	Native	NONE	YES	YES	YES	27	2	One
201t1	201	t1	313	Live	NonNative	CPNWR38	WLE	Native	NONE	YES	YES	YES	27	2	One
201t2	201	t2	313	Live	NonNative	CPNWR38	WLE	Native	NONE	YES	YES	YES	27	2	One
202t0	202	t0	291	Live	NonNative	CPNWR38	WLE	Native	FUN	YES	NO	YES	3	2	One
202t1	202	t1	291	Live	NonNative	CPNWR38	WLE	Native	FUN	YES	NO	YES	3	2	One
202t2	202	t2	291	Live	NonNative	CPNWR38	WLE	Native	FUN	YES	NO	YES	3	2	One
206t0	206	t0	129	Live	NonNative	CPNWR38	WLE	Native	BAC	NO	YES	YES	7	2	One
206t1	206	t1	129	Live	NonNative	CPNWR38	WLE	Native	BAC	NO	YES	YES	7	2	One
